,ev_1,ev_2
0,(0.5967113204417499-2.339029302739919j),(-1.2121561275803359-0.5477555877193474j)
1,(0.5957347193352183-2.3109107859189058j),(-1.2120490714973364-0.5836721729118246j)
2,(0.5940139305174175-2.2827396747950233j),(-1.2109694721550759-0.6196908832541735j)
3,(0.5915559770724149-2.2545311012666582j),(-1.2089205987954923-0.6557890462655522j)
4,(0.5883690205514318-2.2262992117291462j),(-1.2059071193345883-0.6919447783801812j)
5,(0.5844624144667575-2.1980570719346737j),(-1.2019351648144676-0.7281370839192481j)
6,(0.5798467705400282-2.1698165663267575j),(-1.1970124067821888-0.7643459604512516j)
7,(0.5745340407034791-2.1415882917994375j),(-1.1911481505654327-0.8005525105960416j)
8,(0.5685376185125832-2.113381446107064j),(-1.1843534480734286-0.8367390600542711j)
9,(0.561872464425553-2.085203711579762j),(-1.1766412345477308-0.8728892812161219j)
10,(0.5545552603588705-2.057061135452799j),(-1.1680264946399894-0.9089883210530975j)
11,(0.5466046000503353-2.028958009088155j),(-1.1585264643150026-0.9450229310290678j)
12,(0.538041223052032-2.0008967497872785j),(-1.1481608763662892-0.9809815953496643j)
13,(0.5288883016040558-1.9728777909447024j),(-1.1369522587577516-1.0168546518222923j)
14,(0.5191717911253143-1.9448994892154243j),(-1.1249262964868723-1.0526343966799145j)
15,(0.5089208564247318-1.9169580614807042j),(-1.112112269027598-1.0883151606146895j)
16,(0.49816838665753044-1.889047570091922j),(-1.0985435763262752-1.1238933375769893j)
17,(0.4869516119484109-1.8611599826099865j),(-1.0842583662135632-1.15936734016186j)
18,(0.4753128325129203-1.8332853425051148j),(-1.0693002739950332-1.194737445161356j)
19,(0.4633002654972464-1.805412100365789j),(-1.0537192793603818-1.2300054797799842j)
20,(-1.0375726742947844-1.2651742832057054j),(0.45096900331431733-1.7775276709712236j)
21,(-1.0209261151318492-1.3002468608251698j),(0.43838205672606695-1.7496192989843935j)
22,(-1.003854698119999-1.3352251324543127j),(0.4256114221722882-1.7216753319356508j)
23,(-0.9864439465323797-1.3701081679709044j),(0.41273906152440143-1.6936870071432915j)
24,(-0.9687905257862295-1.404889815154433j),(0.3998576108991635-1.6656508477855754j)
25,(-0.9510024143332877-1.4395556729387893j),(0.38707054648345074-1.6375717149205602j)
26,(-0.9331981677200364-1.474079470799645j),(0.3744914449783306-1.6094664547088489j)
27,(-0.915504857182786-1.508419100575722j),(0.3622419202537619-1.5813678944866862j)
28,(-0.8980543030048773-1.5425128086749382j),(0.3504478566802134-1.5533286796473944j)
29,(-0.880977430315536-1.5762763446786396j),(0.339233767062256-1.5254241551837782j)
30,(-0.8643969975964829-1.6096020582113226j),(0.3287155256838501-1.4977532998413488j)
