,kappa_with_noise,kappa_no_noise,ev_with_noise,ev_no_noise,training_steps_color
0,(1.5+0.5j),(1.5+0.5j),"[(-2.0941730889098844-0.20795088700189832j), (-0.5165202814462224+0.05842905972234264j)]","[(-2.0941730889098844-0.20795088700189832j), (-0.5165202814462224+0.05842905972234264j)]",0
1,(1.4408807689542256+0.8387379202452914j),(1.4408807689542256+0.8387379202452914j),"[(-1.8667791537831944-0.3764102329077659j), (-0.708433556539535+0.13006002059218308j)]","[(-1.8667791537831944-0.3764102329077659j), (-0.708433556539535+0.13006002059218308j)]",0
2,(1.270513242775789+1.1374239897486897j),(1.270513242775789+1.1374239897486897j),"[(-1.407394463423724-0.6174997369659385j), (-1.0967427812859438+0.2984271208132048j)]","[(-1.407394463423724-0.6174997369659385j), (-1.0967427812859438+0.2984271208132048j)]",0
3,(1.0090414157503713+1.3607420270039436j),(1.0090414157503713+1.3607420270039436j),"[(-1.0016981177807183-0.967814599192342j), (-1.4109609860359076+0.6114593855954891j)]","[(-1.0016981177807183-0.967814599192342j), (-1.4109609860359076+0.6114593855954891j)]",0
4,(0.6873813145857245+1.4822872507286888j),(0.6873813145857245+1.4822872507286888j),"[(-0.6317689577586398-1.166089205527635j), (-1.6857264851636595+0.8105241901985089j)]","[(-0.6317689577586398-1.166089205527635j), (-1.6857264851636595+0.8105241901985089j)]",0
5,(0.34356553495976894+1.4876883405951378j),(0.34356553495976894+1.4876883405951378j),"[(-0.2621706643632031-1.2186523440208819j), (-1.970531662947632+0.8979721017642573j)]","[(-0.2621706643632031-1.2186523440208819j), (-1.970531662947632+0.8979721017642573j)]",0
6,(0.018246325898284566+1.3763066800438635j),(0.018246325898284566+1.3763066800438635j),"[(0.07767891145531182-1.1382971198598024j), (-2.2461470101343575+0.8795320784318316j)]","[(0.07767891145531182-1.1382971198598024j), (-2.2461470101343575+0.8795320784318316j)]",0
7,(-0.2501110696304596+1.1613118653236518j),(-0.2501110696304596+1.1613118653236518j),"[(0.34899879960474717-0.9444052929857282j), (-2.4823281392055545+0.7666178377274872j)]","[(0.34899879960474717-0.9444052929857282j), (-2.4823281392055545+0.7666178377274872j)]",0
8,(-0.42977648588825146+0.8681245526846777j),(-0.42977648588825146+0.8681245526846777j),"[(0.5125866949701054-0.6722969054111203j), (-2.650625035918882+0.5812413627544882j)]","[(0.5125866949701054-0.6722969054111203j), (-2.650625035918882+0.5812413627544882j)]",0
9,(-0.4995065603657316+0.5314107590781283j),(-0.4995065603657316+0.5314107590781283j),"[(0.5498350826224387-0.3857035746720227j), (-2.73123550570212+0.3549476472828697j)]","[(0.5498350826224387-0.3857035746720227j), (-2.73123550570212+0.3549476472828697j)]",0
10,(-0.45105651629515353+0.19098300562505227j),(-0.45105651629515353+0.19098300562505227j),"[(0.4971131764734516-0.13517945031965237j), (-2.7171139597515532+0.1249783641964725j)]","[(0.4971131764734516-0.13517945031965237j), (-2.7171139597515532+0.1249783641964725j)]",0
11,(-0.2901550123756903-0.1129070536529766j),(-0.2901550123756903-0.1129070536529766j),"[(0.38036446559699555+0.08120424950418773j), (-2.6158473914865352-0.07066742643293515j)]","[(0.38036446559699555+0.08120424950418773j), (-2.6158473914865352-0.07066742643293515j)]",0
12,(-0.035826794978996324-0.3443279255020153j),(-0.035826794978996324-0.3443279255020153j),"[(0.1922172902437576+0.24853141926646927j), (-2.4498524676094244-0.19816112145686982j)]","[(0.1922172902437576+0.24853141926646927j), (-2.4498524676094244-0.19816112145686982j)]",0
13,(0.2818567586034576-0.47591676193874743j),(0.2818567586034576-0.47591676193874743j),"[(-0.05044827687305697+0.3230722570781264j), (-2.256502216366692-0.2321633359959028j)]","[(-0.05044827687305697+0.3230722570781264j), (-2.256502216366692-0.2321633359959028j)]",0
14,(0.6253332335643043-0.4921147013144779j),(0.6253332335643043-0.4921147013144779j),"[(-0.28697697146925216+0.27417353706711434j), (-2.0928218865686223-0.16293319855516045j)]","[(-0.28697697146925216+0.27417353706711434j), (-2.0928218865686223-0.16293319855516045j)]",0
15,(0.9539904997395474-0.39100652418836757j),(0.9539904997395474-0.39100652418836757j),"[(-0.4250245272412877+0.1314760518126301j), (-2.0383822262158087-0.0320036876550908j)]","[(-0.4250245272412877+0.1314760518126301j), (-2.0383822262158087-0.0320036876550908j)]",0
16,(1.2289686274214118-0.18454710592868828j),(1.2289686274214118-0.18454710592868828j),"[(-0.4415479733867126+0.020570290948781815j), (-2.099967327903494+0.030554152287231535j)]","[(-0.4415479733867126+0.020570290948781815j), (-2.099967327903494+0.030554152287231535j)]",0
17,(1.4177546256839813+0.10285210936521966j),(1.4177546256839813+0.10285210936521966j),"[(-0.43959518706675466+0.003116515662019891j), (-2.1566595420387844-0.03321586779619943j)]","[(-0.43959518706675466+0.003116515662019891j), (-2.1566595420387844-0.03321586779619943j)]",0
18,(1.4980267284282716+0.43720948047068675j),(1.4980267284282716+0.43720948047068675j),"[(-0.4962431292621042+0.04696726290614379j), (-2.11627052067769-0.17768890038101884j)]","[(-0.4962431292621042+0.04696726290614379j), (-2.11627052067769-0.17768890038101884j)]",0
19,(1.1806781926890126+1.0095278904963172j),(1.1806775486063792+1.0095278061617394j),"[(-1.2934128046035767-0.07499118894338608j), (-1.1960179805755615-0.2013838142156601j)]","[(-1.2934176921844482-0.07498814910650253j), (-1.1960129737854004-0.20138679444789886j)]",1
20,(1.1850182807964427+1.0085278018616481j),(1.1850182771509248+1.0085278064899872j),"[(-1.2465578317642212-0.13000310957431793j), (0.017227519303560257+0.0019029563991352916j)]","[(-1.2465580701828003-0.1300026774406433j), (0.017227519303560257+0.0019029563991352916j)]",2
21,(1.163898895235788+1.092717915063394j),(0.4619108641482131+0.440841347765673j),"[(-1.1979941129684448-0.5053528547286987j), (-1.2802891731262207+0.20747341215610504j)]","[(-0.1711394488811493-0.2735786736011505j), (0.017018385231494904+0.00046360507258214056j)]",3
22,(1.1675720203021736+1.0773409816183084j),(0.5046315258442566+0.9507322440102342j),"[(-1.203005075454712-0.4680706560611725j), (-1.2775264978408813+0.1741078794002533j)]","[(-2.0013651847839355+0.4480709731578827j), (1.426031470298767-0.025168709456920624j)]",4
23,(1.1701659027505404+1.0667619124967256j),(0.03967420985468983+0.6421971005100878j),"[(-1.2067829370498657-0.44029274582862854j), (-1.2753057479858398+0.1490231156349182j)]","[(0.11888578534126282-0.4738246202468872j), (0.01648048125207424+0.0004920193459838629j)]",5
24,(1.1721132398132856+1.0589883864031766j),(0.9585283494596225+0.39668610291522105j),"[(-1.2097963094711304-0.4184368848800659j), (-1.2734438180923462+0.12914496660232544j)]","[(-0.4284076392650604-0.1321772187948227j), (0.01775563694536686+0.0007474891608580947j)]",6
25,(1.1736334454125321+1.0530213433850624j),(0.7256914767905238+0.6430832932067527j),"[(-1.2122828960418701-0.40061983466148376j), (-1.2718455791473389+0.11284524202346802j)]","[(-0.39651361107826233-0.340363472700119j), (0.017196133732795715+0.0009015885298140347j)]",7
26,(1.174853860403971+1.048292551049652j),(0.3218503226918443+0.6824259322018855j),"[(-1.2143828868865967-0.3857194483280182j), (-1.2704523801803589+0.09914686530828476j)]","[(-0.10999595373868942-0.47277504205703735j), (0.016724415123462677+0.0006534559652209282j)]",8
27,(1.175854810607499+1.0444515056126802j),(0.5180165960137939+0.7112217751179502j),"[(-1.2161872386932373-0.3730120062828064j), (-1.269223928451538+0.08741550892591476j)]","[(-0.2683444321155548-0.45399239659309387j), (0.01690542697906494+0.0008099797996692359j)]",9
28,(1.176689926825191+1.0412701143072962j),(0.6511977452875518+0.014144332606129014j),"[(-1.2177584171295166-0.36200737953186035j), (-1.2681306600570679+0.07721923291683197j)]","[(-0.2402549684047699-0.007245299872010946j), (0.01743924617767334+1.786269604053814e-05j)]",10
29,(1.1773965875501984+1.0385922094872273j),(0.691640834007119+0.28540372248004403j),"[(-1.2191416025161743-0.3523562550544739j), (-1.2671504020690918+0.06824847310781479j)]","[(-0.28294798731803894-0.14295656979084015j), (0.017409048974514008+0.0003951072576455772j)]",11
30,(1.1780016966493358+1.0363075484514366j),(0.6480183024504638+0.46504017840512074j),"[(-1.2203701734542847-0.34380295872688293j), (-1.2662657499313354+0.060275644063949585j)]","[(-0.29438504576683044-0.2521521747112274j), (0.017237763851881027+0.0006131392437964678j)]",12
31,(1.1785251420157297+1.0343359610011096j),(0.5381349103672405+0.5630548439685016j),"[(-1.2214699983596802-0.33615514636039734j), (-1.265462875366211+0.053128793835639954j)]","[(-0.2464923858642578-0.34137043356895447j), (0.017033208161592484+0.0006589660188183188j)]",13
32,(1.1789820461116183+1.0326175409400489j),(0.9728760895669128+0.0632250724835151j),"[(-1.222461223602295-0.3292641043663025j), (-1.264730453491211+0.04667443037033081j)]","[(-0.37552541494369507-0.019529348239302635j), (0.017957372590899467+0.00012570337275974452j)]",14
33,(1.1793838965437053+1.0311069253437841j),(1.2178874106619495+0.32103730579184037j),"[(-1.2233595848083496-0.3230140507221222j), (-1.2640595436096191+0.040808312594890594j)]","[(-0.4681625962257385-0.03817004710435867j), (0.01835763268172741+0.0008359041530638933j)]",15
34,(1.1797398361612235+1.0297688479013076j),(1.1809680602655503+0.08758748123770552j),"[(-1.2241781949996948-0.3173120617866516j), (-1.2634422779083252+0.03544648736715317j)]","[(-0.42491599917411804-0.013103969395160675j), (0.0184219591319561+0.00022531949798576534j)]",16
35,(1.180057051549379+1.0285756122525207j),(0.08168508109978781+0.1937814814399716j),"[(-1.2249274253845215-0.31208324432373047j), (-1.2628724575042725+0.03052106685936451j)]","[(0.11180359870195389-0.13572824001312256j), (0.01654733344912529+3.784871660172939e-05j)]",17
36,(1.1803413428556375+1.0275051190182631j),(0.37357810562896293+0.1452873886776017j),"[(-1.2256160974502563-0.3072662055492401j), (-1.2623445987701416+0.025976253673434258j)]","[(-0.08392033725976944-0.09160692989826202j), (0.017108311876654625+2.746416794252582e-05j)]",18
37,(1.180597411937784+1.0265395473352206j),(0.8679792620152987+0.2211669381243271j),"[(-1.226251482963562-0.3028101325035095j), (-1.2618540525436401+0.0217658169567585j)]","[(-0.3543578088283539-0.08571991324424744j), (0.017713552340865135+0.00038341700565069914j)]",19
38,(1.1808291290858883+1.0256643431109933j),(1.054221097323203+0.23051967290155254j),"[(-1.2268397808074951-0.2986725866794586j), (-1.2613970041275024+0.0178509671241045j)]","[(-0.41722372174263-0.05774129927158356j), (0.018061676993966103+0.000499355373904109j)]",20
39,(1.1810396910632928+1.0248675205375006j),(1.0707693734177242+0.11474263522285065j),"[(-1.2273861169815063-0.29481780529022217j), (-1.2609699964523315+0.014198963530361652j)]","[(-0.4057667553424835-0.02704380266368389j), (0.0181510578840971+0.00025662119151093066j)]",21
40,(1.18123177460729+1.0241390964638946j),(0.20075249705688125+0.4152901844807511j),"[(-1.227894902229309-0.2912152111530304j), (-1.2605700492858887+0.010781828314065933j)]","[(0.014405563473701477-0.2873494029045105j), (0.01671007089316845+0.0003123000788036734j)]",22
41,(1.1814076179502275+1.0234707730777783j),(0.33727342209661904+0.3044758782081183j),"[(-1.228370189666748-0.2878391146659851j), (-1.2601945400238037+0.007575892377644777j)]","[(-0.07111439108848572-0.1978994905948639j), (0.016933100298047066+0.00021884700981900096j)]",23
