,kappa,ev1,ev2,phi
0,(1.3732743718+86.61j),(2.169742011611389-3.255045454720976e-07j),(2.169766430620272-1.114368048835919e-05j),0.0
1,(1.372848545+87.153192612j),(2.169742195808232-4.389418636379728e-07j),(2.169764026395603-1.22840937564434e-05j),0.1047197551196598
2,(1.3715757299+87.690433893j),(2.169742252469582-5.819629850086365e-07j),(2.169761267162762-1.338586375464139e-05j),0.2094395102393196
3,(1.3694698719+88.215837713j),(2.169742198777949-7.532442898059136e-07j),(2.169758194034168-1.44099582412006e-05j),0.3141592653589794
4,(1.3665540431+88.723647639j),(2.169742102867841-9.876418443068786e-07j),(2.169754853404908-1.53307329339673e-05j),0.4188790204786391
5,(1.36286019+89.2083j),(2.169741761270034-1.206958190756257e-06j),(2.169751295635916-1.614504021460756e-05j),0.5235987755982988
6,(1.3584287831+89.664484842j),(2.169741464707781-1.367270226514178e-06j),(2.169747583373639-1.68765336049678e-05j),0.6283185307179587
7,(1.353308374+90.087204109j),(2.169741089026709-1.470906692444252e-06j),(2.169743808181661-1.756159703615076e-05j),0.7330382858376184
8,(1.3475550628+90.4718264j),(2.169740592482837-1.48982521651733e-06j),(2.169740087317142-1.821255231965954e-05j),0.8377580409572782
9,(1.3412318841+90.814137713j),(2.169739942547785-1.446880619331473e-06j),(2.169736524057285-1.880161034387937e-05j),0.942477796076938
10,(1.334408116+91.110387613j),(2.169739139911988-1.37868171397853e-06j),(2.169733182666144-1.928868045671451e-05j),1.047197551196598
11,(1.327158521+91.357330325j),(2.16973820661592-1.310136792776159e-06j),(2.169730099542173-1.964618932173678e-05j),1.151917306316258
12,(1.3195625273+91.552260293j),(2.169737169156675-1.252708460706074e-06j),(2.169727302669836-1.985654345047428e-05j),1.256637061435917
13,(1.3117033581+91.693041822j),(2.1697360528567-1.210268095608394e-06j),(2.169724812503745-1.991095433145863e-05j),1.361356816555577
14,(1.3036671202+91.778132481j),(2.169734880242902-1.183270461433047e-06j),(2.169722645595487-1.980216874562217e-05j),1.466076571675237
15,(1.2955418602+91.8066j),(2.169733671648381-1.17098028321811e-06j),(2.169720812279681-1.952312430942749e-05j),1.570796326794897
16,(1.2874166002+91.778132481j),(2.169732445778381-1.17246150576129e-06j),(2.169719314658535-1.906665620267412e-05j),1.675516081914556
17,(1.2793803623+91.693041822j),(2.169731220077345-1.187029696066958e-06j),(2.169718144347702-1.842658102961843e-05j),1.780235837034216
18,(1.2715211931+91.552260293j),(2.169730010912402-1.214518188680956e-06j),(2.169717279872963-1.760017057660403e-05j),1.884955592153876
19,(1.2639251994+91.357330325j),(2.169728833651023-1.255532878669152e-06j),(2.169716683876668-1.659145611772296e-05j),1.989675347273536
20,(1.2566756044+91.110387613j),(2.169727702718345-1.311789609085297e-06j),(2.169716302584795-1.541252078659107e-05j),2.094395102393195
21,(1.2498518363+90.814137713j),(2.169726631732718-1.386594227003678e-06j),(2.169716076559801-1.408042652230419e-05j),2.199114857512855
22,(1.2435286576+90.4718264j),(2.169725633885211-1.485526335095432e-06j),(2.169715966404366-1.262161594104905e-05j),2.303834612632515
23,(1.2377753464+90.087204109j),(2.169724722962674-1.617466180187455e-06j),(2.169715959426382-1.108525523809251e-05j),2.408554367752175
24,(1.2326549373+89.664484842j),(2.169723916136891-1.796410371565807e-06j),(2.169716050055732-9.525634699380114e-06j),2.513274122871835
25,(1.2282235304+89.2083j),(2.169723241707553-2.045160430019791e-06j),(2.169716228954168-7.970782457422e-06j),2.617993877991494
26,(1.2245296773+88.723647639j),(2.16972276092638-2.399681032602241e-06j),(2.169716462114896-6.41233547292948e-06j),2.722713633111154
27,(1.2216138485+88.215837713j),(2.169722619173182-2.878455662480711e-06j),(2.16971663518603-4.840642406741409e-06j),2.827433388230814
28,(1.2195079905+87.690433893j),(2.169722983782629-3.322169811680785e-06j),(2.169716605940425-3.427761490141448e-06j),2.932153143350474
29,(1.2182351754+87.153192612j),(2.169723749133174-3.525119002306032e-06j),(2.169716495306591-2.376061463823558e-06j),3.036872898470133
30,(1.2178093486+86.61j),(2.16972475967219-3.526764431207139e-06j),(2.169716464184151-1.641470622704255e-06j),3.141592653589793
31,(1.2182351754+86.066807388j),(2.169725981032772-3.412940657511829e-06j),(2.169716545558432-1.129253427919693e-06j),3.246312408709453
32,(1.2195079905+85.529566107j),(2.169727414882316-3.238241910631046e-06j),(2.169716732061749-7.737873737466432e-07j),3.351032163829113
33,(1.2216138485+85.004162287j),(2.169729062050607-3.037154732759299e-06j),(2.169717013767563-5.292569686809517e-07j),3.455751918948772
34,(1.2245296773+84.496352361j),(2.169730915434067-2.832644684593041e-06j),(2.169717385486575-3.620901064658365e-07j),3.560471674068433
35,(1.2282235304+84.0117j),(2.169732960514048-2.639698805282273e-06j),(2.169717846250519-2.478669765421484e-07j),3.665191429188092
36,(1.2326549373+83.555515158j),(2.16973517750491-2.467381799490445e-06j),(2.169718397156816-1.69420707986491e-07j),3.769911184307752
37,(1.2377753464+83.132795891j),(2.169737543254841-2.320591108948813e-06j),(2.169719039561032-1.151523064234943e-07j),3.874630939427412
38,(1.2435286576+82.7481736j),(2.169740032450067-2.201573125887336e-06j),(2.169719775967467-7.87330720771015e-08j),3.979350694547072
39,(1.2498518363+82.405862287j),(2.16974261824273-2.1110956611409e-06j),(2.169720594261474-4.775044177208692e-08j),4.084070449666731
40,(1.2566756044+82.109612387j),(2.169745272544177-2.049270512666893e-06j),(2.169721505428614-2.889783738887792e-08j),4.188790204786391
41,(1.2639251994+81.862669675j),(2.169747966171779-2.01609644114927e-06j),(2.16972249779816-1.496193424663269e-08j),4.293509959906051
42,(1.2715211931+81.667739707j),(2.169750668959888-2.011810179908641e-06j),(2.169723565205337-4.886410356835291e-09j),4.39822971502571
43,(1.2793803623+81.526958178j),(2.169753349890757-2.037121034336772e-06j),(2.169724699500586+2.260087801590119e-09j),4.502949470145371
44,(1.2874166002+81.441867519j),(2.169755977269181-2.093387082228171e-06j),(2.169725891063135+7.122190431739024e-09j),4.60766922526503
45,(1.2955418602+81.4134j),(2.169758518946092-2.182777967897594e-06j),(2.169727128989798+1.012720278960924e-08j),4.71238898038469
46,(1.3036671202+81.441867519j),(2.169760942576082-2.308458705426604e-06j),(2.169728401259177+1.1541914378672861e-08j),4.817108735504349
47,(1.3117033581+81.526958178j),(2.169763215867416-2.474804770915414e-06j),(2.169729694897315+1.1508909034703221e-08j),4.92182849062401
48,(1.3195625273+81.667739707j),(2.169765306769933-2.687593554886755e-06j),(2.169730996149904+1.006654700753665e-08j),5.02654824574367
49,(1.327158521+81.862669675j),(2.169767183626568-2.954023944688626e-06j),(2.169732290662751+7.155991131084573e-09j),5.131268000863328
50,(1.334408116+82.109612387j),(2.169768815519723-3.282437290368522e-06j),(2.169733563671329+2.616946720851697e-09j),5.235987755982989
51,(1.3412318841+82.405862287j),(2.169770173132135-3.681841852151414e-06j),(2.169734800198941-3.828047265357582e-09j),5.340707511102649
52,(1.3475550628+82.7481736j),(2.169771230102517-4.161325131652673e-06j),(2.169735985263997-1.260248111878305e-08j),5.445427266222308
53,(1.353308374+83.132795891j),(2.169771964214748-4.728663381178998e-06j),(2.169737104097353-2.432138366198188e-08j),5.550147021341968
54,(1.3584287831+83.555515158j),(2.169772356445796-5.387209785870557e-06j),(2.169738142373184-3.9858855386309344e-08j),5.654866776461628
55,(1.36286019+84.0117j),(2.169772385256035-6.134561164719337e-06j),(2.169739086461795-6.044460105039521e-08j),5.759586531581287
56,(1.3665540431+84.496352361j),(2.16977202369065-6.969984178070415e-06j),(2.169739923722671-8.779657591008897e-08j),5.864306286700947
57,(1.3694698719+85.004162287j),(2.169771250597617-7.897836655898166e-06j),(2.169740642873395-1.242910261469956e-07j),5.969026041820608
58,(1.3715757299+85.529566107j),(2.169770058086225-8.91593015274772e-06j),(2.169741234498079-1.731491858901786e-07j),6.073745796940266
59,(1.372848545+86.066807388j),(2.169768448019443-1.000782007790973e-05j),(2.16974169178954-2.385575631011708e-07j),6.178465552059927
